idx,smiles
147,CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)C(C)(C)C)C
148,CC1=CC(=C(C(=C1)Cl)OP(=S)(OC)OC)Cl
149,O=S(=O)(N(SC(Cl)(Cl)F)c1ccc(cc1)C)N(C)C
150,CCCN(CCC)C(=O)SCCC
151,O=C(NN=C1C(C)(C)C)N(N)C1=O
152,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
153,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
154,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
155,NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CC=N2
156,c1(S(Nc2nc(cc(n2)C)C)(=O)=O)ccc(N)cc1
157,c1(NS(c2ccc(N)cc2)(=O)=O)cc(nc(n1)OC)OC
158,c1(S(Nc2nccs2)(=O)=O)ccc(N)cc1
159,N1(c2c(cccc2)C=Cc2c1cccc2)C(N)=O
160,c1(ccccc1)C2(C(=O)NCNC2=O)CC
161,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O
162,CC1=NC=C(N1CCO)[N+]([O-])=O
163,c1(Cc2c(nc(N)nc2)N)cc(c(OC)c(c1)OC)OC
164,c1c(c(ccc1)Nc1c(cccc1Cl)Cl)CC(=O)O
165,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
166,c1([C@@H](C(O)=O)C)ccc(CC(C)C)cc1
167,CC(C)(OC1=CC=C(Cl)C=C1)C(O)=O
168,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O
169,COC1=CC2=C(C=C1)N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C2CC(O)=O
170,c1(c(cccc1)C(O)=O)Nc1c(c(ccc1)C)C
171,c1(C(NCCc2ccc(OC(C(O)=O)(C)C)cc2)=O)ccc(Cl)cc1
172,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
173,c1(C(N(CC)CC)=O)cc(C)ccc1
174,c1(C(c2ccccc2)=O)c(cc(OC)cc1)O
175,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N3CCNCC3
176,c1(S(Nc2ccccn2)(=O)=O)ccc(N)cc1
177,CC(=O)NC=2C(=O)N(c1ccccc1)N(C)C=2C
178,CC(=O)NC1=CC=C(O)C=C1
179,C(C)(=O)Nc1ccc(cc1)S(=O)(=O)Nc1nc(cc(n1)OC)OC
180,O=S(=O)(c1ccc(cc1)NC(=O)C)Nc1nc(cc(n1)C)C
181,c1nc(NS(c2ccc(cc2)NC(C)=O)(=O)=O)ncc1
182,c1(ccc(NC(=O)C)cc1)S(=O)(NC2=NC=CS2)=O
183,c12c(C(N(C(C)C)S(N1)(=O)=O)=O)cccc2
184,CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C
185,c1ccccc1CN(C(=O)C(C)(C)C)C(C)C
186,OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1C(C)CC
187,C1(C(C(CCC1)=O)C(c1c(cc(cc1)S(=O)(=O)C)[N+](=O)[O-])=O)=O
188,S(C=C1C)C(C)=C1N(C(=O)C(=O)O)C(COC)C
189,S(C=C1C)C(C)=C1N(C(=O)CS(=O)(=O)O)C(COC)C
190,c1(c(cc(Cl)cc1)C)OCC(O)=O
191,c1(nc(nc(n1)Cl)NCC)NCC
192,CC1=CC=CC(CC)=C1N(C(C)COC)C(C(O)=O)=O
193,O=C1C(\Br)=C(/NC(=O)N1C(CC)C)C
194,ClC1=C(OCC(O)=O)C=CC(Cl)=C1
195,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C
196,N(c1c(cccc1C)C)(Cn1cccn1)C(CCl)=O
197,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O
198,c1(c(ccc(c1)NC(N(C)C)=O)C)Cl
199,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl
200,c1(c(c(ccc1Cl)Cl)OC)C(O)=O
201,n(c(nc1NC(C)C)O)c(n1)N
202,c1(nc(nc(n1)O)NCC)NC(C)C
203,c1(n(sc(c1)Cl)C)=O
204,S(C)-c(nc(n1)N)nc1NC(C)(C)C
205,c1(nc(nc(n1)Cl)NCC)NC(C)(C)C
206,N(C(=O)N)c1ccc(cc1)C(C)C
207,c1(ccc(C(C)C)cc1)NC(N(C)C)=O
208,c1(nc(nc(n1)Cl)N)NCC
209,c1(nc(nc(n1)Cl)NCC)NC(C)C
210,c1(cc(c(Cl)cc1)Cl)NC(N)=O
211,O=C1CCCC(=O)C1C(=O)c1ccc(S(=O)(=O)C)cc1Cl
212,c1(c(ccc(c1)NC(N(C)C)=O)Cl)Cl
213,c1(cc(c(Cl)cc1)Cl)NC(NC)=O
214,S(Nc1ccccc1)(N(C)C)(=O)=O
215,c1(S(Nc2cc(C)on2)(=O)=O)ccc(N)cc1
216,c1(ccc(cc1)NC(C)=O)S(Nc1cc(C)on1)(=O)=O
217,n1(c(ccs1)=O)CCCCCCCC
218,c12c(cccc2)s[nH]c1=O
219,c1(nc(NC(C)(C)C)nc(n1)SC)NC1CC1
220,c12c(n(c(=O)n(c1=O)C)C)ncn2C
221,N(C(=O)Nc1ccc(cc1)C(C)C)C
222,N(C(OCC#CI)=O)CCCC
223,c1(nc(nc(n1)SC)NCC)NC(C)(C)C
224,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O
225,c1(Oc2ccccc2)cc(ccc1)CO
226,c1(cc(ccc1)C(O)=O)Oc1ccccc1
227,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
228,OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3
229,C(=NC)Nc1c(cc(cc1)C)C
230,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
231,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
232,c1cc(C(=O)c2ccc(cc2)OC(C(=O)O)(C)C)ccc1Cl
233,CN1N(C(=O)C=C1C)C2=CC=CC=C2
234,O=S(=O)(Nc1ccc(C)cc1)N(C)C
235,S(=O)(=O)(N)N(C)C
236,c12c(scn1)cccc2
237,O=c1c(Cl)c(Cl)sn1CCCCCCCC
238,c1(nc(nc(n1)OC)NCC)NC(C)(C)C
239,CCNC1=NC(O)=NC(NC(C)(C)C)=N1
240,O=S(O)(CC(N(C(C)COC)C1=C(CC)C=CC=C1C)=O)=O
241,COCCOCCOC
242,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
243,S(c1ccc(N)cc1)(O)(=O)=O
244,OS(C1=CC2=C(C=CC=C2)C=C1)(=O)=O
245,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC
246,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)O
247,CC2(C)c1cc3C(=O)OCC(C)c3cc1C(C)(C)C2C
248,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C
249,Fc1ccc(cc1)N(C(C)C)C(=O)CS(O)(=O)=O
250,Fc1ccc(cc1)N(C(C)C)C(=O)C(O)=O
251,O=S(=O)(O)CC(=O)N(c1ccccc1)C(C)C
252,CC(C)N(C(=O)C(O)=O)c1ccccc1
253,Oc1nc(NCC)nc(NCC)n1
254,c1(nc(nc(n1)OC)NCC)NC(CC)C
255,n1c(nc(Cl)nc1NCC)NC(CC)C
256,Oc1ccc(C(F)(F)F)cc1
257,COC1=C(OC)C=CC(C(C(C)C)(C#N)CCCN(CCC2=CC(OC)=C(OC)C=C2)C)=C1
258,CC(C)NCC(O)COc1ccc(cc1)CC(=O)O
259,c1(c(nncc1N)O)Cl
